Dates,County,States,Vehicle_Primary_Use,Battery_EV,PlugIn_Hybrid _EV,EV_Total,NEV_Total,Total_Vehicles,Percent_EV
August 31 2020,Okanogan,WA,Passenger,40,34,74,25972,26046,0.28
December 31 2020,Grays Harbor,WA,Truck,0,0,0,21200,21200,0
January 31 2024,Grant,WA,Passenger,373,158,531,66124,66655,0.8
March 31 2019,Klickitat,WA,Truck,0,0,0,8203,8203,0
December 31 2023,Yakima,WA,Passenger,643,297,940,164992,165932,0.57
August 31 2020,Douglas,WA,Truck,0,0,0,12333,12333,0
June 30 2019,Pierce,WA,Truck,0,0,0,139764,139764,0
January 31 2019,Cowlitz,WA,Truck,0,0,0,28725,28725,0
May 31 2020,Kitsap,WA,Passenger,1312,678,1990,179589,181579,1.1
March 31 2021,Cowlitz,WA,Passenger,197,133,330,72144,72474,0.46
April 30 2023,Stevens,WA,Truck,1,0,1,18760,18761,0.01
August 31 2018,Kittitas,WA,Passenger,52,34,86,29120,29206,0.29
August 31 2019,Whatcom,WA,Truck,2,0,2,42993,42995,0
April 30 2018,Okanogan,WA,Passenger,8,19,27,25811,25838,0.1
January 31 2021,Wahkiakum,WA,Passenger,7,6,13,3040,3053,0.43
June 30 2018,Grant,WA,Truck,0,0,0,25921,25921,0
September 30 2019,Skagit,WA,Truck,1,0,1,32511,32512,0
February 28 2019,Jefferson,WA,Truck,0,0,0,9618,9618,0
October 31 2019,Whitman,WA,Truck,0,0,0,8598,8598,0
June 30 2019,Mason,WA,Truck,0,0,0,20353,20353,0
August 31 2019,Kittitas,WA,Truck,0,0,0,14526,14526,0
March 31 2021,Thurston,WA,Truck,0,0,0,56509,56509,0
June 30 2019,Skagit,WA,Passenger,298,200,498,91934,92432,0.54
April 30 2018,Ferry,WA,Passenger,2,3,5,4413,4418,0.11
May 31 2021,Pend Oreille,WA,Passenger,14,6,20,9272,9292,0.22
March 31 2022,Columbia,WA,Truck,0,0,0,1589,1589,0
October 31 2023,Wahkiakum,WA,Truck,4,0,4,1757,1761,0.23
April 30 2017,Spokane,WA,Truck,1,0,1,90259,90260,0
April 30 2021,Whitman,WA,Passenger,59,44,103,21973,22076,0.47
November 30 2022,Kitsap,WA,Truck,27,0,27,52937,52964,0.05
May 31 2020,Okanogan,WA,Passenger,34,33,67,25873,25940,0.26
August 31 2020,Spokane,WA,Passenger,780,504,1284,317368,318652,0.4
December 31 2017,Whitman,WA,Passenger,17,20,37,22423,22460,0.16
May 31 2021,Asotin,WA,Truck,0,0,0,6780,6780,0
June 30 2023,Lewis,WA,Passenger,330,211,541,59351,59892,0.9
January 31 2017,Pierce,WA,Truck,0,0,0,138746,138746,0
September 30 2019,King,WA,Truck,6,1,7,182366,182373,0
July 31 2023,Clark,WA,Truck,102,0,102,81348,81450,0.13
October 31 2022,Lincoln,WA,Passenger,12,17,29,7725,7754,0.37
April 30 2018,Garfield,WA,Truck,0,0,0,949,949,0
February 28 2022,Mason,WA,Truck,0,0,0,21159,21159,0
December 31 2017,Pacific,WA,Passenger,15,13,28,15399,15427,0.18
September 30 2023,Pend Oreille,WA,Passenger,31,17,48,8836,8884,0.54
January 31 2023,Lewis,WA,Passenger,280,189,469,59741,60210,0.78
November 30 2017,Benton,WA,Truck,0,0,0,40499,40499,0
September 30 2022,Whitman,WA,Passenger,96,64,160,21931,22091,0.72
March 31 2019,Skagit,WA,Truck,1,0,1,32251,32252,0
May 31 2023,Ferry,WA,Truck,0,0,0,3566,3566,0
March 31 2019,Grant,WA,Truck,0,0,0,26331,26331,0
December 31 2019,Stevens,WA,Truck,0,0,0,18759,18759,0
October 31 2018,Walla Walla,WA,Passenger,36,50,86,35994,36080,0.24
May 31 2023,San Juan,WA,Passenger,609,176,785,13824,14609,5.37
July 31 2020,Lincoln,WA,Truck,0,0,0,4659,4659,0
August 31 2022,Skamania,WA,Passenger,82,50,132,8135,8267,1.6
April 30 2017,Skamania,WA,Truck,0,0,0,3874,3874,0
November 30 2023,Kittitas,WA,Truck,18,0,18,14453,14471,0.12
December 31 2019,Whitman,WA,Truck,0,0,0,8581,8581,0
May 31 2019,Clallam,WA,Truck,0,0,0,21743,21743,0
June 30 2017,Asotin,WA,Passenger,6,3,9,12422,12431,0.07
December 31 2023,Chelan,WA,Passenger,742,212,954,53657,54611,1.75
February 28 2018,Clallam,WA,Truck,0,0,0,21290,21290,0
February 28 2017,Cowlitz,WA,Passenger,50,46,96,69049,69145,0.14
April 30 2019,Yakima,WA,Passenger,93,103,196,164594,164790,0.12
January 31 2018,Okanogan,WA,Truck,0,0,0,16334,16334,0
December 31 2020,Adams,WA,Truck,0,0,0,5335,5335,0
February 29 2020,Island,WA,Truck,1,0,1,21322,21323,0
May 31 2018,Yakima,WA,Passenger,62,84,146,163632,163778,0.09
November 30 2018,Spokane,WA,Passenger,407,358,765,306843,307608,0.25
November 30 2022,Benton,WA,Truck,7,0,7,43390,43397,0.02
July 31 2019,Lewis,WA,Truck,0,0,0,25963,25963,0
April 30 2019,Franklin,WA,Passenger,53,67,120,59460,59580,0.2
May 31 2021,San Juan,WA,Truck,0,0,0,5922,5922,0
October 31 2022,Franklin,WA,Passenger,239,112,351,61736,62087,0.57
October 31 2022,Skagit,WA,Truck,8,0,8,32205,32213,0.02
July 31 2020,Okanogan,WA,Truck,0,0,0,16486,16486,0
August 31 2021,Cowlitz,WA,Truck,0,1,1,29076,29077,0
September 30 2022,Kitsap,WA,Truck,23,0,23,53142,53165,0.04
February 28 2022,Okanogan,WA,Truck,0,0,0,16701,16701,0
January 31 2022,Garfield,WA,Passenger,0,3,3,1354,1357,0.22
September 30 2023,Franklin,WA,Passenger,359,152,511,62018,62529,0.82
February 29 2020,Jefferson,WA,Truck,0,0,0,9639,9639,0
October 31 2022,Cowlitz,WA,Truck,4,0,4,28436,28440,0.01
June 30 2021,Franklin,WA,Truck,0,0,0,20694,20694,0
May 31 2019,Okanogan,WA,Passenger,21,23,44,26068,26112,0.17
February 28 2021,Klickitat,WA,Passenger,65,45,110,14995,15105,0.73
September 30 2022,Whitman,WA,Truck,2,0,2,8580,8582,0.02
April 30 2020,Grays Harbor,WA,Passenger,106,110,216,48065,48281,0.45
June 30 2020,Jefferson,WA,Passenger,236,139,375,24793,25168,1.49
April 30 2019,Clallam,WA,Passenger,160,132,292,50459,50751,0.58
January 31 2018,Wahkiakum,WA,Truck,0,0,0,1681,1681,0
January 31 2023,Lincoln,WA,Truck,0,0,0,4845,4845,0
April 30 2022,Klickitat,WA,Truck,0,0,0,8275,8275,0
June 30 2018,Walla Walla,WA,Truck,0,0,0,13417,13417,0
June 30 2023,Skamania,WA,Passenger,107,59,166,8062,8228,2.02
April 30 2022,Adams,WA,Truck,0,0,0,5479,5479,0
March 31 2020,Grays Harbor,WA,Truck,0,0,0,20783,20783,0
March 31 2019,Lewis,WA,Passenger,95,92,187,58517,58704,0.32
September 30 2018,Franklin,WA,Truck,0,0,0,18872,18872,0
January 31 2017,King,WA,Truck,8,1,9,191064,191073,0
December 31 2017,Okanogan,WA,Truck,0,0,0,16269,16269,0
July 31 2019,Lincoln,WA,Truck,0,0,0,4684,4684,0
November 30 2021,Jefferson,WA,Passenger,371,195,566,24777,25343,2.23
February 28 2017,Snohomish,WA,Passenger,1604,824,2428,514017,516445,0.47
March 31 2023,San Juan,WA,Passenger,593,174,767,13857,14624,5.24
February 28 2021,Clallam,WA,Passenger,282,195,477,49986,50463,0.95
January 31 2017,Kittitas,WA,Passenger,15,16,31,27154,27185,0.11
June 30 2023,Benton,WA,Passenger,1143,571,1714,135486,137200,1.25
March 31 2017,Mason,WA,Truck,0,0,0,19224,19224,0
January 31 2017,Klickitat,WA,Truck,0,0,0,7939,7939,0
June 30 2021,Skagit,WA,Truck,1,0,1,33012,33013,0
January 31 2017,Franklin,WA,Truck,0,0,0,17909,17909,0
August 31 2019,Klickitat,WA,Truck,0,0,0,8290,8290,0
February 28 2021,Stevens,WA,Passenger,38,42,80,30210,30290,0.26
March 31 2017,Benton,WA,Truck,0,0,0,39850,39850,0
May 31 2018,Pacific,WA,Truck,0,0,0,7587,7587,0
June 30 2021,Pierce,WA,Passenger,3469,1996,5465,560038,565503,0.97
June 30 2018,Grays Harbor,WA,Truck,0,0,0,20220,20220,0
November 30 2020,Spokane,WA,Truck,0,0,0,100342,100342,0
October 31 2018,Ferry,WA,Truck,0,0,0,3565,3565,0
October 31 2017,Pacific,WA,Truck,0,0,0,7520,7520,0
January 31 2018,Kitsap,WA,Passenger,706,402,1108,176377,177485,0.62
July 31 2018,King,WA,Passenger,13477,5801,19278,1372160,1391438,1.39
May 31 2017,Lincoln,WA,Truck,0,0,0,4459,4459,0
April 30 2021,Yakima,WA,Truck,0,0,0,61649,61649,0
April 30 2017,Pacific,WA,Truck,0,0,0,7462,7462,0
December 31 2017,Skamania,WA,Passenger,10,7,17,8587,8604,0.2
June 30 2019,Island,WA,Passenger,317,241,558,63356,63914,0.87
July 31 2020,Clallam,WA,Passenger,237,169,406,50055,50461,0.8
December 31 2021,Kitsap,WA,Passenger,2126,956,3082,179903,182985,1.68
January 31 2018,Island,WA,Passenger,159,168,327,61814,62141,0.53
August 31 2017,Klickitat,WA,Passenger,22,24,46,14783,14829,0.31
July 31 2020,Lincoln,WA,Passenger,5,11,16,7649,7665,0.21
June 30 2020,Skamania,WA,Passenger,31,17,48,8476,8524,0.56
June 30 2017,Lincoln,WA,Passenger,2,5,7,7527,7534,0.09
April 30 2022,Lewis,WA,Passenger,231,173,404,59494,59898,0.67
March 31 2019,Spokane,WA,Passenger,490,393,883,307724,308607,0.29
October 31 2017,Lincoln,WA,Passenger,2,5,7,7574,7581,0.09
May 31 2017,Okanogan,WA,Passenger,3,16,19,25682,25701,0.07
November 30 2023,Mason,WA,Passenger,533,222,755,45865,46620,1.62
February 29 2024,Spokane,WA,Truck,77,0,77,98050,98127,0.08
December 31 2021,Skagit,WA,Passenger,694,302,996,91084,92080,1.08
April 30 2019,San Juan,WA,Passenger,204,69,273,14327,14600,1.87
November 30 2019,Douglas,WA,Truck,0,0,0,12296,12296,0
June 30 2018,King,WA,Truck,7,1,8,183019,183027,0
July 31 2022,Mason,WA,Truck,4,0,4,20953,20957,0.02
August 31 2019,Chelan,WA,Truck,0,0,0,22363,22363,0
September 30 2017,Franklin,WA,Truck,0,0,0,18245,18245,0
February 28 2021,Clallam,WA,Truck,1,0,1,21893,21894,0
April 30 2018,Okanogan,WA,Truck,0,0,0,16351,16351,0
June 30 2019,Asotin,WA,Passenger,12,8,20,12637,12657,0.16
April 30 2020,Okanogan,WA,Passenger,34,31,65,25884,25949,0.25
April 30 2023,Island,WA,Passenger,1012,423,1435,61226,62661,2.29
April 30 2019,Thurston,WA,Passenger,821,612,1433,196682,198115,0.72
December 31 2023,Spokane,WA,Passenger,2851,1403,4254,319273,323527,1.31
August 31 2020,Garfield,WA,Passenger,0,1,1,1349,1350,0.07
August 31 2020,Cowlitz,WA,Truck,0,0,0,28906,28906,0
August 31 2023,Snohomish,WA,Passenger,13961,3227,17188,527018,544206,3.16
September 30 2023,Pierce,WA,Passenger,8574,2979,11553,526690,538243,2.15
February 28 2017,Clark,WA,Truck,0,0,0,77514,77514,0
October 31 2019,Thurston,WA,Passenger,1005,685,1690,198995,200685,0.84
April 30 2022,Yakima,WA,Truck,0,0,0,61517,61517,0
January 31 2017,Adams,WA,Passenger,1,1,2,12174,12176,0.02
September 30 2018,Ferry,WA,Truck,0,0,0,3558,3558,0
April 30 2022,Spokane,WA,Passenger,1506,810,2316,325402,327718,0.71
July 31 2022,Jefferson,WA,Passenger,442,219,661,24528,25189,2.62
March 31 2021,Garfield,WA,Truck,0,0,0,1010,1010,0
August 31 2017,Whatcom,WA,Passenger,481,182,663,143538,144201,0.46
March 31 2017,Chelan,WA,Passenger,55,30,85,51679,51764,0.16
April 30 2020,Stevens,WA,Passenger,33,33,66,30954,31020,0.21
November 30 2022,Lincoln,WA,Passenger,12,19,31,7760,7791,0.4
December 31 2018,Whatcom,WA,Truck,2,0,2,42661,42663,0
February 28 2023,Walla Walla,WA,Passenger,206,107,313,35670,35983,0.87
November 30 2017,Kitsap,WA,Passenger,676,367,1043,175364,176407,0.59
May 31 2017,Ferry,WA,Truck,0,0,0,3546,3546,0
February 28 2023,King,WA,Passenger,50998,12802,63800,1329467,1393267,4.58
December 31 2018,Lewis,WA,Truck,0,0,0,25634,25634,0
September 30 2019,Columbia,WA,Passenger,3,2,5,2447,2452,0.2
June 30 2021,Columbia,WA,Truck,0,0,0,1545,1545,0
January 31 2018,Stevens,WA,Passenger,10,22,32,31592,31624,0.1
October 31 2019,San Juan,WA,Truck,0,0,0,5920,5920,0
April 30 2021,San Juan,WA,Truck,0,0,0,5907,5907,0
May 31 2020,Douglas,WA,Passenger,69,40,109,27959,28068,0.39
December 31 2021,Okanogan,WA,Truck,0,0,0,16677,16677,0
April 30 2021,Kitsap,WA,Truck,0,0,0,54543,54543,0
August 31 2022,Grant,WA,Truck,1,0,1,27979,27980,0
May 31 2018,Franklin,WA,Passenger,38,63,101,57683,57784,0.17
May 31 2017,Lincoln,WA,Passenger,2,5,7,7507,7514,0.09
November 30 2018,Pacific,WA,Passenger,20,23,43,15802,15845,0.27
April 30 2019,Spokane,WA,Truck,1,0,1,94366,94367,0
April 30 2020,Benton,WA,Truck,0,0,0,42484,42484,0
January 31 2024,Lewis,WA,Truck,13,0,13,25127,25140,0.05
March 31 2019,Yakima,WA,Truck,0,0,0,58742,58742,0
February 29 2020,Benton,WA,Passenger,337,320,657,135287,135944,0.48
September 30 2021,Garfield,WA,Truck,0,0,0,997,997,0
June 30 2017,Klickitat,WA,Truck,0,0,0,7962,7962,0
December 31 2023,Grant,WA,Truck,14,0,14,27634,27648,0.05
April 30 2022,Lincoln,WA,Truck,0,0,0,4851,4851,0
June 30 2023,King,WA,Passenger,57647,14686,72333,1325480,1397813,5.17
February 28 2023,Kittitas,WA,Passenger,321,92,413,29523,29936,1.38
October 31 2022,Klickitat,WA,Truck,3,0,3,8245,8248,0.04
February 28 2017,Jefferson,WA,Passenger,89,55,144,23602,23746,0.61
December 31 2023,Grant,WA,Passenger,363,159,522,66570,67092,0.78
June 30 2021,San Juan,WA,Passenger,431,135,566,14248,14814,3.82
June 30 2017,Thurston,WA,Passenger,398,336,734,186613,187347,0.39
August 31 2020,Douglas,WA,Passenger,77,41,118,28006,28124,0.42
September 30 2020,Lincoln,WA,Passenger,5,10,15,7595,7610,0.2
February 28 2023,Jefferson,WA,Passenger,509,242,751,24261,25012,3
December 31 2023,Pend Oreille,WA,Truck,2,0,2,5492,5494,0.04
September 30 2019,Whatcom,WA,Passenger,922,460,1382,151297,152679,0.91
October 31 2022,Lincoln,WA,Truck,0,0,0,4858,4858,0
July 31 2023,Benton,WA,Passenger,1172,578,1750,135303,137053,1.28
August 31 2023,Grant,WA,Passenger,306,136,442,67263,67705,0.65
November 30 2021,Chelan,WA,Truck,0,0,0,23088,23088,0
March 31 2017,Asotin,WA,Passenger,5,2,7,12332,12339,0.06
August 31 2022,Clallam,WA,Truck,4,0,4,21864,21868,0.02
October 31 2021,Lincoln,WA,Passenger,7,16,23,7704,7727,0.3
February 28 2022,Wahkiakum,WA,Truck,0,0,0,1814,1814,0
March 31 2019,Kitsap,WA,Truck,1,0,1,53733,53734,0
September 30 2019,Yakima,WA,Truck,0,0,0,59394,59394,0
May 31 2018,San Juan,WA,Truck,0,0,0,5699,5699,0
June 30 2019,Clark,WA,Passenger,1538,927,2465,313797,316262,0.78
April 30 2022,Stevens,WA,Passenger,64,52,116,30081,30197,0.38
March 31 2022,Franklin,WA,Truck,0,0,0,20924,20924,0
December 31 2019,Stevens,WA,Passenger,31,31,62,31591,31653,0.2
December 31 2018,Ferry,WA,Passenger,3,2,5,4384,4389,0.11
February 28 2023,Pend Oreille,WA,Truck,0,0,0,5582,5582,0
November 30 2018,Jefferson,WA,Passenger,169,104,273,24795,25068,1.09
December 31 2022,Thurston,WA,Passenger,2623,1132,3755,191891,195646,1.92
January 31 2022,Wahkiakum,WA,Passenger,17,11,28,3074,3102,0.9
December 31 2018,Klickitat,WA,Truck,0,0,0,8205,8205,0
June 30 2020,Grays Harbor,WA,Truck,0,0,0,20905,20905,0
September 30 2017,Snohomish,WA,Passenger,1911,974,2885,514323,517208,0.56
December 31 2023,Whitman,WA,Truck,7,0,7,8550,8557,0.08
March 31 2018,Spokane,WA,Passenger,304,273,577,301235,301812,0.19
November 30 2021,Garfield,WA,Passenger,0,3,3,1348,1351,0.22
October 31 2023,Benton,WA,Truck,31,0,31,42878,42909,0.07
September 30 2022,Stevens,WA,Truck,1,0,1,18888,18889,0.01
March 31 2017,Jefferson,WA,Truck,0,0,0,9445,9445,0
August 31 2022,Kitsap,WA,Truck,19,0,19,53198,53217,0.04
December 31 2019,Skamania,WA,Passenger,26,18,44,8760,8804,0.5
June 30 2020,Walla Walla,WA,Passenger,73,62,135,35822,35957,0.38
March 31 2020,Jefferson,WA,Truck,0,0,0,9591,9591,0
June 30 2022,Cowlitz,WA,Truck,2,1,3,28540,28543,0.01
February 28 2022,Cowlitz,WA,Truck,0,1,1,28893,28894,0
January 31 2023,Columbia,WA,Passenger,8,1,9,2433,2442,0.37
January 31 2020,Cowlitz,WA,Passenger,127,111,238,73594,73832,0.32
August 31 2019,Clallam,WA,Passenger,184,148,332,50729,51061,0.65
January 31 2020,San Juan,WA,Truck,0,0,0,5924,5924,0
April 30 2018,Lewis,WA,Truck,0,0,0,25312,25312,0
February 28 2023,Kittitas,WA,Truck,6,0,6,14569,14575,0.04
July 31 2021,Lewis,WA,Passenger,165,146,311,59639,59950,0.52
February 29 2020,Lincoln,WA,Passenger,1,12,13,7782,7795,0.17
March 31 2019,Pend Oreille,WA,Truck,0,0,0,5721,5721,0
November 30 2020,Snohomish,WA,Passenger,4955,1821,6776,537934,544710,1.24
July 31 2020,Franklin,WA,Passenger,65,79,144,60760,60904,0.24
June 30 2021,Garfield,WA,Truck,0,0,0,997,997,0
February 28 2018,Kitsap,WA,Passenger,716,418,1134,176353,177487,0.64
February 28 2021,Yakima,WA,Passenger,185,135,320,167462,167782,0.19
June 30 2019,Whatcom,WA,Passenger,853,427,1280,150671,151951,0.84
December 31 2021,Cowlitz,WA,Passenger,274,163,437,71531,71968,0.61
September 30 2018,Grant,WA,Passenger,33,50,83,63764,63847,0.13
February 28 2018,Klickitat,WA,Passenger,25,27,52,14944,14996,0.35
December 31 2022,Whatcom,WA,Truck,26,0,26,43053,43079,0.06
May 31 2017,Stevens,WA,Passenger,8,23,31,31322,31353,0.1
March 31 2022,Whitman,WA,Passenger,79,54,133,22015,22148,0.6
January 31 2024,Grant,WA,Truck,19,0,19,27402,27421,0.07
October 31 2018,San Juan,WA,Truck,0,0,0,5785,5785,0
November 30 2019,Yakima,WA,Passenger,118,116,234,165977,166211,0.14
December 31 2018,Yakima,WA,Truck,0,0,0,58843,58843,0
February 28 2022,Garfield,WA,Truck,0,0,0,997,997,0
April 30 2020,Klickitat,WA,Passenger,53,41,94,15421,15515,0.61
November 30 2020,Ferry,WA,Truck,0,0,0,3599,3599,0
May 31 2022,Lewis,WA,Passenger,230,175,405,59492,59897,0.68
January 31 2018,Okanogan,WA,Passenger,7,19,26,25696,25722,0.1
October 31 2023,Spokane,WA,Passenger,2680,1300,3980,321070,325050,1.22
August 31 2021,Mason,WA,Truck,0,0,0,21310,21310,0
May 31 2020,Benton,WA,Truck,0,0,0,42472,42472,0
December 31 2021,Pierce,WA,Passenger,4233,2122,6355,555213,561568,1.13
February 28 2019,San Juan,WA,Passenger,193,69,262,14269,14531,1.8
January 31 2021,Kitsap,WA,Passenger,1606,764,2370,179227,181597,1.31
October 31 2023,Skamania,WA,Truck,1,0,1,3777,3778,0.03
January 31 2017,Klickitat,WA,Passenger,20,22,42,14793,14835,0.28
June 30 2023,Snohomish,WA,Truck,173,0,173,121547,121720,0.14
February 28 2022,Whitman,WA,Truck,0,0,0,8581,8581,0
March 31 2021,Mason,WA,Truck,0,0,0,21155,21155,0
May 31 2021,Stevens,WA,Passenger,42,45,87,30539,30626,0.28
July 31 2020,Island,WA,Truck,1,0,1,21217,21218,0
September 30 2018,Yakima,WA,Truck,0,0,0,58685,58685,0
July 31 2020,Douglas,WA,Passenger,75,41,116,28044,28160,0.41
February 28 2022,Grays Harbor,WA,Passenger,202,157,359,49294,49653,0.72
August 31 2022,Mason,WA,Truck,4,0,4,20950,20954,0.02
April 30 2021,Ferry,WA,Truck,0,0,0,3650,3650,0
December 31 2022,Benton,WA,Truck,10,0,10,43320,43330,0.02
November 30 2018,Grays Harbor,WA,Truck,0,0,0,20335,20335,0
February 29 2024,Asotin,WA,Passenger,44,26,70,11924,11994,0.58
November 30 2019,Garfield,WA,Truck,0,0,0,963,963,0
April 30 2019,King,WA,Passenger,18275,6870,25145,1383718,1408863,1.78
March 31 2020,Thurston,WA,Passenger,1131,727,1858,198493,200351,0.93
July 31 2022,Lincoln,WA,Truck,0,0,0,4832,4832,0
June 30 2019,San Juan,WA,Passenger,212,72,284,14404,14688,1.93
May 31 2022,Benton,WA,Truck,2,0,2,43533,43535,0
August 31 2017,Skagit,WA,Passenger,140,112,252,88467,88719,0.28
April 30 2018,Whitman,WA,Passenger,20,24,44,22552,22596,0.19
October 31 2018,Douglas,WA,Truck,0,0,0,12075,12075,0
January 31 2019,Kitsap,WA,Passenger,980,556,1536,179906,181442,0.85
March 31 2022,King,WA,Passenger,37919,10699,48618,1350442,1399060,3.48
June 30 2018,Kitsap,WA,Truck,1,0,1,53200,53201,0
February 28 2017,Okanogan,WA,Truck,0,0,0,16300,16300,0
May 31 2020,Douglas,WA,Truck,0,0,0,12274,12274,0
January 31 2018,Wahkiakum,WA,Passenger,0,2,2,2844,2846,0.07
May 31 2021,Wahkiakum,WA,Passenger,13,7,20,3112,3132,0.64
March 31 2022,Benton,WA,Truck,1,0,1,43602,43603,0
May 31 2019,Ferry,WA,Truck,0,0,0,3589,3589,0
September 30 2019,Ferry,WA,Truck,0,0,0,3584,3584,0
February 28 2022,Ferry,WA,Truck,0,0,0,3566,3566,0
May 31 2023,Grant,WA,Truck,10,0,10,28018,28028,0.04
April 30 2017,Cowlitz,WA,Passenger,52,48,100,69318,69418,0.14
November 30 2020,Wahkiakum,WA,Passenger,6,6,12,3039,3051,0.39
January 31 2018,Columbia,WA,Passenger,2,1,3,2401,2404,0.12
April 30 2022,Snohomish,WA,Truck,4,0,4,124572,124576,0
February 28 2021,Kitsap,WA,Passenger,1641,776,2417,179251,181668,1.33
March 31 2022,Clallam,WA,Truck,1,0,1,22041,22042,0
July 31 2023,Asotin,WA,Truck,0,0,0,6630,6630,0
April 30 2023,Spokane,WA,Truck,33,0,33,101665,101698,0.03
May 31 2021,Lincoln,WA,Truck,0,0,0,4753,4753,0
July 31 2019,Kitsap,WA,Truck,1,0,1,54117,54118,0
July 31 2020,Franklin,WA,Truck,0,0,0,20090,20090,0
December 31 2023,Kittitas,WA,Passenger,460,116,576,28979,29555,1.95
January 31 2021,Skagit,WA,Passenger,517,243,760,91403,92163,0.82
April 30 2019,Whatcom,WA,Passenger,823,393,1216,150042,151258,0.8
July 31 2021,Pacific,WA,Passenger,46,53,99,16018,16117,0.61
July 31 2020,Island,WA,Passenger,430,273,703,62807,63510,1.11
November 30 2021,Okanogan,WA,Truck,0,0,0,16679,16679,0
December 31 2022,Kittitas,WA,Truck,5,0,5,14567,14572,0.03
May 31 2021,Garfield,WA,Passenger,0,2,2,1368,1370,0.15
October 31 2023,Island,WA,Passenger,1237,464,1701,60834,62535,2.72
December 31 2019,Asotin,WA,Truck,0,0,0,6711,6711,0
May 31 2018,Cowlitz,WA,Passenger,58,75,133,71515,71648,0.19
June 30 2017,King,WA,Truck,8,1,9,187719,187728,0
October 31 2022,Stevens,WA,Truck,2,0,2,18870,18872,0.01
October 31 2017,Thurston,WA,Passenger,442,371,813,188825,189638,0.43
January 31 2018,Ferry,WA,Truck,0,0,0,3545,3545,0
September 30 2019,Garfield,WA,Truck,0,0,0,968,968,0
December 31 2020,Snohomish,WA,Passenger,5035,1846,6881,538478,545359,1.26
January 31 2023,Whitman,WA,Truck,3,0,3,8637,8640,0.03
August 31 2019,Kitsap,WA,Passenger,1113,633,1746,181465,183211,0.95
November 30 2018,San Juan,WA,Passenger,176,68,244,14206,14450,1.69
June 30 2017,Adams,WA,Passenger,2,3,5,12202,12207,0.04
July 31 2017,Pacific,WA,Truck,0,0,0,7494,7494,0
March 31 2019,Ferry,WA,Truck,0,0,0,3594,3594,0
January 31 2021,Columbia,WA,Truck,0,0,0,1546,1546,0
May 31 2023,Cowlitz,WA,Truck,8,0,8,28292,28300,0.03
April 30 2018,Stevens,WA,Passenger,10,24,34,31579,31613,0.11
July 31 2019,Chelan,WA,Truck,0,0,0,22347,22347,0
March 31 2021,Grays Harbor,WA,Passenger,150,131,281,49005,49286,0.57
August 31 2023,Yakima,WA,Passenger,554,271,825,166105,166930,0.49
July 31 2022,Stevens,WA,Passenger,72,54,126,30027,30153,0.42
July 31 2017,Thurston,WA,Passenger,418,350,768,187024,187792,0.41
March 31 2017,Klickitat,WA,Passenger,21,23,44,14775,14819,0.3
November 30 2020,San Juan,WA,Passenger,355,106,461,14011,14472,3.19
September 30 2020,Ferry,WA,Truck,0,0,0,3583,3583,0
November 30 2019,Snohomish,WA,Passenger,3942,1705,5647,535304,540951,1.04
March 31 2018,Skagit,WA,Passenger,173,154,327,89891,90218,0.36
December 31 2023,Wahkiakum,WA,Passenger,32,22,54,3041,3095,1.74
April 30 2018,Clark,WA,Passenger,943,657,1600,306417,308017,0.52
March 31 2018,Walla Walla,WA,Passenger,32,36,68,35462,35530,0.19
October 31 2022,Lewis,WA,Truck,2,0,2,26342,26344,0.01
April 30 2023,Wahkiakum,WA,Truck,2,0,2,1794,1796,0.11
October 31 2017,King,WA,Truck,7,1,8,185826,185834,0
July 31 2023,Lewis,WA,Passenger,337,222,559,59400,59959,0.93
October 31 2018,Pierce,WA,Truck,0,0,0,138755,138755,0
September 30 2021,Jefferson,WA,Passenger,357,186,543,24796,25339,2.14
March 31 2022,Snohomish,WA,Passenger,7661,2361,10022,534588,544610,1.84
April 30 2021,Mason,WA,Passenger,191,132,323,48078,48401,0.67
April 30 2019,Stevens,WA,Truck,0,0,0,18679,18679,0
February 28 2021,Kitsap,WA,Truck,0,0,0,54250,54250,0
September 30 2018,Kitsap,WA,Truck,1,0,1,53529,53530,0
October 31 2021,Thurston,WA,Passenger,1800,920,2720,196945,199665,1.36
June 30 2018,Whitman,WA,Passenger,19,28,47,22599,22646,0.21
June 30 2021,Cowlitz,WA,Truck,0,0,0,29115,29115,0
February 28 2023,Okanogan,WA,Truck,2,0,2,16452,16454,0.01
October 31 2022,Benton,WA,Passenger,865,486,1351,135627,136978,0.99
May 31 2017,San Juan,WA,Passenger,104,38,142,13496,13638,1.04
September 30 2021,Pend Oreille,WA,Passenger,17,7,24,9237,9261,0.26
October 31 2018,Skagit,WA,Passenger,240,180,420,91003,91423,0.46
March 31 2023,Adams,WA,Passenger,23,11,34,13037,13071,0.26
September 30 2019,Lincoln,WA,Passenger,2,10,12,7807,7819,0.15
February 29 2024,Ferry,WA,Truck,0,0,0,3362,3362,0
February 28 2018,Okanogan,WA,Truck,0,0,0,16306,16306,0
December 31 2021,San Juan,WA,Truck,0,0,0,6000,6000,0
October 31 2023,Clark,WA,Truck,123,0,123,80650,80773,0.15
January 31 2021,Spokane,WA,Truck,0,0,0,100843,100843,0
December 31 2018,Wahkiakum,WA,Truck,0,0,0,1722,1722,0
February 29 2020,Kittitas,WA,Truck,0,0,0,14650,14650,0
March 31 2017,Lewis,WA,Truck,0,0,0,24820,24820,0
