Dates,County,States,Vehicle_Primary_Use,Battery_EV,PlugIn_Hybrid _EV,EV_Total,NEV_Total,Total_Vehicles,Percent_EV
August 31 2017,Asotin,WA,Passenger,8,5,13,12438,12451,0.1
November 30 2019,Benton,WA,Passenger,309,308,617,135081,135698,0.45
July 31 2020,Cowlitz,WA,Passenger,146,117,263,72224,72487,0.36
April 30 2018,Pacific,WA,Truck,0,0,0,7595,7595,0
August 31 2022,Kittitas,WA,Passenger,284,88,372,29593,29965,1.24
October 31 2022,Garfield,WA,Passenger,1,3,4,1308,1312,0.3
February 29 2024,King,WA,Truck,1164,2,1166,165834,167000,0.7
July 31 2021,Chelan,WA,Truck,0,0,0,23093,23093,0
December 31 2022,Lincoln,WA,Truck,0,0,0,4841,4841,0
October 31 2019,Clark,WA,Truck,0,0,0,81141,81141,0
October 31 2021,Spokane,WA,Truck,0,0,0,102532,102532,0
December 31 2022,Klickitat,WA,Truck,4,0,4,8234,8238,0.05
August 31 2023,Adams,WA,Passenger,25,12,37,13078,13115,0.28
April 30 2017,King,WA,Truck,8,1,9,188921,188930,0
August 31 2018,Whatcom,WA,Truck,2,0,2,42395,42397,0
January 31 2022,Columbia,WA,Passenger,6,2,8,2450,2458,0.33
January 31 2018,Mason,WA,Passenger,65,75,140,44969,45109,0.31
February 29 2024,Okanogan,WA,Truck,10,0,10,15655,15665,0.06
November 30 2021,Yakima,WA,Passenger,272,167,439,168582,169021,0.26
July 31 2023,Okanogan,WA,Passenger,129,65,194,26106,26300,0.74
November 30 2020,Garfield,WA,Truck,0,0,0,995,995,0
March 31 2017,Cowlitz,WA,Truck,0,0,0,27903,27903,0
March 31 2023,Skagit,WA,Passenger,1022,383,1405,89122,90527,1.55
December 31 2022,Clark,WA,Passenger,4919,2025,6944,314671,321615,2.16
May 31 2023,Mason,WA,Truck,10,0,10,20728,20738,0.05
September 30 2022,Cowlitz,WA,Passenger,368,180,548,70311,70859,0.77
January 31 2018,Garfield,WA,Passenger,1,0,1,1329,1330,0.08
March 31 2019,Skamania,WA,Truck,0,0,0,4016,4016,0
