Facility_Id,City,State,Zip_Code,Address,County,Industry_Type_Sectors,Total_reported_direct_emissions,CO2_emissions_nonbiogenic ,Methane_CH4_ emissions 
1006187,PISCATAWAY,NJ,08854,74 Street 1603,MIDDLESEX COUNTY,Other,103294.412,103188.1,48.5
1000169,FLORA,IL,62839,676 CYPRESS DRIVE,Clay,Power Plants,1776.592,1774.4,1
1005645,GRAMERCY,LA,70052,1140 JEFFERSON HWY,ST. JAMES PARISH,Petroleum and Natural Gas Systems,148481.592,148109.4,110.25
1005848,SULPHUR,LA,70665,1920 PAK TANK RD.,CALCASIEU PARISH,Petroleum and Natural Gas Systems,281015.176,280206.4,239
1005716,NORCO,LA,70079,801 PROSPECT AVE,ST. CHARLES PARISH,Petroleum and Natural Gas Systems,118273.436,117953.1,94.75
1000511,PLEASANT HILL,MO,64080,101 FRONT ST,Cass,Power Plants,35317.98,35285.1,15
1002966,Grand Rapids,MN,55744,502 NW 3rd St.,ITASCA COUNTY,Power Plants,95798.888,95699.7,45.25
1001124,RATHDRUM,ID,83858,5999 W BOEKEL ROAD,Kootenai,Power Plants,105456.508,105349.1,49
1001352,RATHDRUM,ID,83858,9924 WEST LANCASTER ROAD,Kootenai,Power Plants,638923.432,638274.6,296
1001249,TREMONT,PA,17981,490 West Main Street,Schuylkill,Power Plants,387093.218,384408.1,981.75
1000764,LONG ISLAND CITY,NY,11101,38-54 VERNON BLVD,Queens,Power Plants,947888.592,946840.1,458.75
1001062,Wellington,CO,80549,2700 East County Road 82,Larimer,Power Plants,2031909.948,2016717,5567.25
1001195,FOUNTAIN,CO,80817,6598 RAY NIXON RD,El Paso,Power Plants,1199185.684,1189786.8,3436.5
1007434,NEVADA,TX,75173,13835 CTY RD 489,Collin,Power Plants,45538.68,45492.1,21.25
1000482,FORT DRUM,NY,13602,4515 Euphrates River Valley Road,JEFFERSON COUNTY,Power Plants,62422.944,56397.5,891.5
1010688,West Reading,PA,19611,Sixth Avenue and Spruce Street,BERKS COUNTY,Other,14912.344,14897,7
1001883,Morgantown,KY,42261,805 Gardner Lane,BUTLER COUNTY,"Metals,Waste",50089.57,34521.2,15549
1012373,Edinburg,TX,78541,3428 WEST FM 490,HIDALGO COUNTY,"Other,Power Plants",188813.688,188618.6,89
1006935,Ackerman,MS,39735,2391 Pensacola Road,Choctaw,Power Plants,3411685.866,3385985.9,9401.75
1000095,SAYREVILLE,NJ,08872,832 RED OAK LANE,Middlesex,Power Plants,1221138.024,1219897.9,565.75
1002909,Rosholt,SD,57260,47333 104th St,ROBERTS COUNTY,Other,46340.676,46293,21.75
1006774,Red Wing,MN,55901,101 5th Street East,OLMSTED COUNTY,Power Plants,113666.52,107986.8,2211
1000824,LUTHER,OK,73054,20922 TRIPLE XXX ROAD,Oklahoma,Power Plants,1653100.724,1651422.2,765.75
1000161,REDDING,CA,96001,17120 CLEAR CREEK ROAD,Shasta,Power Plants,194043.48,193846.2,90
1000822,ARLINGTON,AZ,85322,11600 SOUTH 363RD AVENUE,Maricopa,Power Plants,1903837.344,1901904,882
1007870,LAKE BUENA VISTA,FL,32830,1375 Buena Vista Drive,Orange,"Natural Gas and Natural Gas Liquids Suppliers,Power Plants",101833.554,101708.4,51.25
1000754,ALBUQUERQUE,NM,87113,4400 PASEO DEL NORTE NE,Bernalillo,Power Plants,143530.168,143384.4,66.5
